,data_compra,sku,produto,fornecedor,custo_bruto,comissoes_mktplace,frete,preco_venda,lucro_venda,dias_estoque,data_venda,marketplace_venda,cliente,localizacao
1256,2021-07-29,19696,APARADOR MONDIAL BG-03 10 EM 1 BIV 2,FUJIOKA,106.33,37.98,18.59,199.9,32.92,32,2021-08-30,MAGALU,0f13399147542bc77187,Luziânia - GO
1257,2021-07-29,19696,APARADOR MONDIAL BG-03 10 EM 1 BIV 2,FUJIOKA,106.33,21.74,0.0,169.9,39.96,6,2021-08-04,OLIST,f62985b9cc25055d3208,PAULINIA SP
1258,2021-07-20,1108,MALETA ALFABETIZAÇÃO 10 JOGOS - 1108,CARLU,261.6,65.98,33.95,399.9,-1.62,115,2021-11-12,MAGALU,7ab82e091db1358269b7,"Itamogi, Minas Gerais"
1259,2021-07-29,19328,PRANCHA TAIFF CERAMICA BIVOLT,FUJIOKA,120.19,13.68,22.13,114.0,-53.4,200,2022-02-14,ML MHL TOOLS,e9d8a18839e5666d8aef,"Ascurra, Santa Catarina"
1260,2021-07-29,691075,ESCOVA SECADOR MONDIAL ES-11 127V ROSE,FUJIOKA,159.85,21.75,0.0,169.9,-28.69,208,2022-02-22,ML MHL TOOLS,40cd61a8829cb89958aa,GUARULHOS SP
1261,2021-07-29,691075,ESCOVA SECADOR MONDIAL ES-11 127V ROSE,FUJIOKA,159.85,15.22,0.0,118.93,-68.04,208,2022-02-22,MAGALU,3b11ce0499df5d033f01,ARARAQUARA SP
1262,2021-07-29,206244,BR IX JOGO TRAVE POLO AQUATICO 58507,NILO TOZZO,104.78,29.73,22.14,169.9,11.22,48,2021-09-15,MAGALU,b4eba26139617d9bd6ce,"Rio de Janeiro, Rio de Janeiro"
1263,2021-07-29,206244,BR IX JOGO TRAVE POLO AQUATICO 58507,NILO TOZZO,104.78,17.9,0.0,139.9,17.4,67,2021-10-04,ML MHL TOOLS,b3e642f3956b4e501430,UBERLANDIA MG
1264,2021-07-29,206244,BR IX JOGO TRAVE POLO AQUATICO 58507,NILO TOZZO,104.78,17.91,0.0,139.9,17.39,90,2021-10-27,MAGALU,5145e28e0c029de7c0e1,"CHAPADA, RS"
1265,2021-07-29,206244,BR IX JOGO TRAVE POLO AQUATICO 58507,NILO TOZZO,104.78,17.91,0.0,139.9,17.39,90,2021-10-27,MAGALU,5145e28e0c029de7c0e1,"CHAPADA, RS"
1266,2021-07-29,691075,ESCOVA SECADOR MONDIAL ES-11 127V ROSE,FUJIOKA,159.85,15.22,0.0,118.93,-68.04,208,2022-02-22,MAGALU,fd90da26693511984c00,ARAUCARIA PR
1267,2021-07-29,691076,ESCOVA SECADOR MONDIAL ES-11 220V ROSE,FUJIOKA,159.85,42.48,17.95,249.9,4.63,137,2021-12-13,MAGALU,8d64ec919f558d7bf1c9,"Jundiaí, São Paulo"
1268,2021-07-29,691076,ESCOVA SECADOR MONDIAL ES-11 220V ROSE,FUJIOKA,159.85,36.11,22.14,212.41,-26.93,188,2022-02-02,ML MHL TOOLS,b0e11e83d7fc9c158348,"Angélica, Mato Grosso do Sul"
1269,2021-07-29,771370,BR AB CARRO R/C TWIST MULTI FUNC 842088 AMARELO,NILO TOZZO,259.16,31.99,0.0,249.9,-32.03,69,2021-10-06,ML MHL TOOLS,9ae5b7350ad2d4ede58e,"JARAGUA DO SUL, SC"
1270,2021-08-02,19334,ESCOVA ROT.MONDIAL ER-03 TOURMALINE 220V,FUJIOKA,123.11,23.03,0.0,179.9,32.83,21,2021-08-23,MAGALU,e6ce0bb88880f4bfb251,"FREDERICO WESTPHALEN, RS"
1271,2021-08-02,19334,ESCOVA ROT.MONDIAL ER-03 TOURMALINE 220V,FUJIOKA,123.11,23.02,0.0,179.9,32.84,28,2021-08-30,MAGALU,b5015d40d7467d3a26e1,PAROBE RS
1272,2021-07-29,691106,PRANCHA LIZZE EXTREME 220V,FUJIOKA,394.14,73.08,22.14,429.9,-102.45,194,2022-02-08,MAGALU,4a082600de1e8d480e90,"Porto Seguro, Bahia"
1273,2021-07-29,691106,PRANCHA LIZZE EXTREME 220V,FUJIOKA,394.14,51.59,22.14,429.9,-80.96,200,2022-02-14,ML MHL TOOLS,92128d5cc333f25946a6,"Recife, Pernambuco"
1274,2021-08-02,19924,DEPILADOR PHILIPS BRE245/00,FUJIOKA,219.35,40.95,0.0,319.9,60.17,42,2021-09-13,ML MHL TOOLS,85a4d0c50e86bf4e71f1,"SAO CAETANO DO SUL, SP"
1275,2021-08-02,19696,APARADOR MONDIAL BG-03 10 EM 1 BIV 2,FUJIOKA,102.28,21.74,0.0,169.9,43.6,3,2021-08-05,MAGALU,ef4f3661a5f00c22c318,"CAMPO GRANDE, MS"
1276,2021-08-02,19696,APARADOR MONDIAL BG-03 10 EM 1 BIV 2,FUJIOKA,102.28,21.74,0.0,169.9,43.6,4,2021-08-06,MAGALU,1f5091892c982bd1bad4,CAMPO GRANDE MS
1277,2021-08-02,19696,APARADOR MONDIAL BG-03 10 EM 1 BIV 2,FUJIOKA,102.28,21.75,0.0,169.9,43.59,15,2021-08-17,MAGALU,36e484c2b6e1f1d5599a,"SAO CARLOS, SP"
1278,2021-08-06,6047950720,ESMERILHADEIRA ANG. M9507B 220V MAKITA,OVD,301.18,49.91,0.0,389.9,42.88,31,2021-09-06,MAGALU,c0e1a5e476c2746c1fdd,"DOURADOS, MS"
1279,2021-08-06,6001065127,"ESMERILHADEIRA 4.1/2""EAV650 C/3DISC 127V",OVD,236.1,38.38,0.0,299.9,-4.57,94,2021-11-08,MAGALU,0f7c0c0f0a65b06a42ac,FOZ DO IGUACU PR
1280,2021-08-06,6001020110,SOPRADOR TERMICO STV2000N 127V VONDER,OVD,193.63,31.98,0.0,249.9,26.96,73,2021-10-18,MAGALU,6d714117cf12edbfa3e4,"CACU, GO"
1281,2021-07-29,22412,BR P&F BB MOBILE P/BERC C/5ENF MAR 7192,NILO TOZZO,92.46,7.18,0.0,39.9,-63.73,217,2022-03-03,MAGALU,2503f98d11008a23a2a6,"Timóteo, Minas Gerais"
1282,2021-07-29,22412,BR P&F BB MOBILE P/BERC C/5ENF MAR 7192,NILO TOZZO,92.46,7.18,0.0,39.9,-63.73,218,2022-03-04,SHOPEE,d39770d9e76b45d25c09,"Vitória, Espírito Santo"
1283,2021-08-06,19487,ESCOVA ROT.GAMA 3000 110V,FUJIOKA,302.55,51.19,0.0,399.9,49.7,20,2021-08-26,SHOPEE,c3f97a38745a39db32e6,"VARGEM GRANDE PAULISTA, SP"
1284,2021-08-06,19487,ESCOVA ROT.GAMA 3000 110V,FUJIOKA,302.55,51.19,0.0,399.9,49.7,20,2021-08-26,MAGALU,c3f97a38745a39db32e6,"VARGEM GRANDE PAULISTA, SP"
1285,2021-08-06,19487,ESCOVA ROT.GAMA 3000 110V,FUJIOKA,302.55,51.19,0.0,399.9,49.7,20,2021-08-26,MAGALU,c3f97a38745a39db32e6,"VARGEM GRANDE PAULISTA, SP"
1286,2021-08-06,19487,ESCOVA ROT.GAMA 3000 110V,FUJIOKA,302.55,74.78,21.54,439.9,41.9,68,2021-10-13,MAGALU,cd0914940caf2d895dd6,"Vila Velha, Espírito Santo"
1287,2021-07-29,22413,BR P&F BB MOBILE P/BERC C/5ENF ANIM 7193,NILO TOZZO,103.88,5.11,0.0,39.9,-73.08,217,2022-03-03,ML MHL TOOLS,65796bd03d646d6900f5,CACHOEIRA DO SUL RS
1288,2021-08-06,19968,APARADOR MONDIAL BG-05 11 EM 1 BIV,FUJIOKA,127.17,24.3,0.0,189.9,37.17,3,2021-08-09,MAGALU,d774558f9c9a913ecc5f,SARANDI PR
