,data_compra,sku,produto,fornecedor,custo_bruto,comissoes_mktplace,frete,preco_venda,lucro_venda,dias_estoque,cliente,marketplace_venda,marketplace_unificado,data_venda,dia_semana,fim_semana,ano_mes_venda,quarter_venda,uf,regiao_br
469,2020-07-16,580213CAMPREGRA,CAMISETA MASCULINA ESTAMPADA CAVEIRA ROCK STAR VIBE MMT - 580213 - PRETA - G,MMT,14.4,5.98,0.0,29.9,8.35,305,2d44675bafbf30cbd9e4,SHOPEE,SHOPEE,2021-05-17,Monday,False,2021-05,2021-T2,MG,SUDESTE
470,2020-07-16,580213CAMROYGG,CAMISETA MASCULINA ESTAMPADA CAVEIRA ROCK STAR VIBE MMT - 580213 - ROYAL - GG,MMT,14.4,1.58,0.0,9.9,-7.07,523,d25f2832a24ea6a54965,MAGALU,MAGALU,2021-12-21,Tuesday,False,2021-12,2021-T4,MG,SUDESTE
471,2020-07-16,580213CAMROYGG,CAMISETA MASCULINA ESTAMPADA CAVEIRA ROCK STAR VIBE MMT - 580213 - ROYAL - GG,MMT,14.4,1.58,0.0,9.9,-7.07,538,d25f2832a24ea6a54965,MAGALU,MAGALU,2022-01-05,Wednesday,False,2022-01,2022-T1,MG,SUDESTE
472,2020-07-16,580213CAMROYGG,CAMISETA MASCULINA ESTAMPADA CAVEIRA ROCK STAR VIBE MMT - 580213 - ROYAL - GG,MMT,14.4,1.78,0.0,9.9,-7.27,538,1c76344268986bfe4b7c,MAGALU,MAGALU,2022-01-05,Wednesday,False,2022-01,2022-T1,SP,SUDESTE
473,2020-07-16,580213CAMPREGG,CAMISETA MASCULINA ESTAMPADA CAVEIRA ROCK STAR VIBE MMT - 580213 - PRETA - GG,MMT,14.4,1.58,0.0,9.9,-7.07,538,d25f2832a24ea6a54965,SHOPEE,SHOPEE,2022-01-05,Wednesday,False,2022-01,2022-T1,MG,SUDESTE
474,2020-07-16,580213CAMPREGG,CAMISETA MASCULINA ESTAMPADA CAVEIRA ROCK STAR VIBE MMT - 580213 - PRETA - GG,MMT,14.4,1.78,0.0,9.9,-7.27,538,1c76344268986bfe4b7c,MAGALU,MAGALU,2022-01-05,Wednesday,False,2022-01,2022-T1,SP,SUDESTE
475,2020-07-16,580213CAMPREGG,CAMISETA MASCULINA ESTAMPADA CAVEIRA ROCK STAR VIBE MMT - 580213 - PRETA - GG,MMT,13.14,1.78,0.0,9.9,-6.01,560,9a3cc611b1e9a5b7f067,SHOPEE,SHOPEE,2022-01-27,Thursday,False,2022-01,2022-T1,SP,SUDESTE
476,2020-07-30,6055402020,ESMERILHADEIRA DWE4020B2B 220V DEWALT,OVD,382.81,71.62,28.14,421.31,-103.39,537,169c6bca2f13b1a72d7b,SHOPEE,SHOPEE,2022-01-18,Tuesday,False,2022-01,2022-T1,RS,SUL
477,2020-07-30,6045955742,"ESMERILHADEIRA ANG. 4.1/2""9557HNG 220V M",OVD,344.14,40.55,23.45,337.9,-104.03,566,4bda1f5479a63cd3cde2,ML MHL TOOLS,MERCADO LIVRE,2022-02-16,Wednesday,False,2022-02,2022-T1,RN,NORDESTE
478,2020-07-30,6065900211,ESMERILHADEIRA 9002AL 115MM 127V SKIL,OVD,193.64,42.48,22.95,249.9,-34.16,504,51267c7690e153d990da,ML MHL TOOLS,MERCADO LIVRE,2021-12-16,Thursday,False,2021-12,2021-T4,MS,CENTRO-OESTE
